Epoch,2 Conv/MaxPool,3 Conv/MaxPool,4 Conv/MaxPool,5 Conv/MaxPool
1,0.448,0.6374,0.608,0.5165
2,0.6554,0.812,0.8211,0.7624
3,0.7155,0.859,0.8677,0.8382
4,0.7491,0.8815,0.8885,0.8751
5,0.7701,0.9005,0.9032,0.8956
