Epoch,2 Conv/MaxPool,3 Conv/MaxPool,4 Conv/MaxPool,5 Conv/MaxPool
1,2.2413,1.0481,1.1076,1.3627
2,0.97,0.5279,0.5071,0.6666
3,0.7943,0.3938,0.375,0.4507
4,0.6955,0.3288,0.3069,0.3484
5,0.6379,0.2788,0.2643,0.2898
