Epoch,15-9-7-3,10-7-5-3,7-7-3-3,5-5-3-3
1,1.346,1.331,1.2766,1.2829
2,0.6693,0.6623,0.56,0.6452
3,0.4636,0.4902,0.4082,0.4889
4,0.3829,0.391,0.3267,0.4143
5,0.325,0.3365,0.2832,0.3609
