Epoch,Adam,SGD,RMSProp
1,1.1076,1.7002,1.3028
2,0.5071,0.9996,0.5809
3,0.375,0.7691,0.4381
4,0.3069,0.6384,0.3618
5,0.2643,0.5562,0.3095
